cumulative energy, local energy at each 100step
18.6001,18.7296
18.5895,17.3699
18.5878,19.0677
18.5926,22.849
18.5964,18.7669
18.6023,25.1286
18.6071,19.6327
18.6068,18.6067
18.6031,18.3438
18.6069,17.312
18.6048,19.1497
18.5959,10.2451
18.5876,21.449
18.5879,12.5365
18.5774,21.6654
18.5795,16.2654
18.5798,15.1443
18.5737,17.0685
18.5637,12.6111
18.5584,18.3667
18.5619,23.8918
18.5625,19.1556
18.5655,16.3282
18.5684,21.0482
18.5725,21.2285
18.5726,20.8772
18.5692,12.067
18.5708,19.125
18.5724,17.9959
18.5725,19.4716
18.5722,17.5151
18.569,11.1342
18.5656,17.1953
18.5618,21.0481
18.5631,18.2894
18.5665,13.8634
18.56,17.1067
18.5572,14.1454
18.553,18.8853
18.5567,22.3096
18.5555,11.7938
18.5527,18.7691
18.5525,21.2852
18.5548,17.6725
18.5532,17.303
18.5538,22.6267
18.5617,17.7977
18.5629,20.4868
18.5659,17.6933
18.5625,17.7772
18.5596,11.5854
18.5599,21.4032
18.5607,21.1671
18.56,21.7681
18.5688,23.3118
18.5715,20.1057
18.5691,18.8147
18.5766,19.3322
18.5821,19.626
18.5829,17.7058
18.5894,21.9648
18.5949,24.4801
18.5992,20.457
18.5992,21.1768
18.6033,19.4617
18.6067,20.9711
18.6055,17.7987
18.6107,21.5235
18.6079,15.4257
18.6052,19.9195
18.6054,20.2533
18.6097,17.2736
18.605,18.6826
18.6028,20.7408
18.6064,22.8461
18.6132,23.7896
18.612,17.2937
18.6057,19.4196
18.6056,18.5939
18.606,18.0547
18.6048,17.9507
18.6021,15.5598
18.5963,10.7527
18.5946,18.1848
18.5981,19.5084
18.5991,16.0019
18.596,17.2624
18.5992,16.9437
18.5966,19.4411
18.5987,20.8671
18.5966,18.9412
18.6015,19.83
18.6062,23.6247
18.6066,11.7449
18.6093,20.7389
18.6098,12.9465
18.6065,21.4828
18.605,13.5421
18.6009,21.907
18.6038,22.4642
18.6069,19.2295
18.6088,21.2163
18.6094,21.1961
18.6105,14.1507
18.6083,19.9567
18.608,21.3915
18.6111,21.9495
18.6156,20.9266
18.6168,19.252
18.614,19.173
18.6127,21.855
18.6139,16.6404
18.608,17.6749
18.6127,22.3512
18.6119,17.7742
18.6133,22.5253
18.6175,19.8668
18.62,19.7756
18.6212,18.9281
18.6227,23.3833
18.6245,23.2663
18.624,17.9553
18.6237,21.4517
18.6257,22.6691
18.6247,19.6276
18.6316,24.5141
18.6303,11.8195
18.6283,16.6609
18.6263,16.667
18.6287,15.8984
18.6268,18.0825
18.6287,20.5917
18.6307,16.4979
18.6299,22.757
